time,Compressor_mdot,Compressor_power_consumed,Compressor_h,Compressor_speed_rpm,Comp-Cond_p,Comp-Cond_t,Comp-Cond_h,Cond_mdot,Cond_qdot,Cond_h,Cond_t_secondary_in,Cond_t_secondary_out,Cond-Valve_p,Cond-Valve_t,Cond-Valve_h,MainValve_mdot,MainValve_h,Valve-Evap_p,Valve-Evap_t,Valve-Evap_h,Evap_mdot,Evap_qdot,Evap_h,Evap_t_secondary_in,Evap_t_secondary_out,Evap-Comp_p,Evap-Comp_t,Evap-Comp_h
0.0,0.0,0.0,0.0,4000,600000.0000000015,294.72165935749774,283949.0910096399,0.0,0.0,0.0,298.15,298.15,600000.0000000015,294.72165935749774,283949.0910096399,0.0,0.0,250000.00000000116,268.86628137464885,254813.8857711701,0.0,0.0,0.0,283.15,283.15,250000.00000000116,268.86628137464885,254813.8857711701
0.01,1.118275995614156,6258.465858730095,260410.41639802395,4000,605881.7085162131,295.0413168588151,283453.1033448302,0.0,3428.340642502235,414010.4711046594,298.15,298.14836016161877,597478.7532905556,294.58390956147804,283921.5303681745,0.2837985605630819,283949.0910096399,252449.92150509768,269.12615503577484,255127.4549444608,0.0,24996.507594364473,408554.1778937861,283.15,283.1380831927373,243346.5329289703,268.1504526016384,254643.37922598835
0.02,1.0737626912103009,6283.066590806298,260494.82726216875,4000,606089.8397310942,295.05258526387144,282937.3174227653,0.6230649818447922,3107.0433028036746,288439.8116230009,298.15,298.1468756457476,600940.9150585075,294.77295466644654,284020.1860122301,0.2809058021366858,283921.5303681745,252354.99509063485,269.1161221414475,255374.190830533,0.4264745997511717,24520.874274684345,312624.13654986274,283.15,283.1264051084211,241802.23684277345,267.98214663885767,255411.83802673948
0.03,1.0504308562013036,6307.6063117551585,261416.61813627044,4000,607497.5212260195,295.12872166866265,282482.47342040396,0.49005152455121653,3094.290381876192,289251.531799937,298.15,298.14539871457123,603157.4418700681,294.89355217599643,284099.5117449874,0.2834041899028898,284020.1860122301,252085.75804805194,269.08765026718334,255618.87213346688,0.45814548113344,24517.995192203885,308889.9324494332,283.15,283.11474012754593,240505.46975490364,267.8401745806311,256194.527242556
0.04,1.0288695287690257,6340.3963932753,262357.0155036878,4000,609266.962476903,295.22423541521954,282075.70194851665,0.45255791854040667,3016.6770459085797,289148.3098190642,298.15,298.1439603844121,604982.9256749271,294.9926223448741,284168.34235376463,0.2850498581778228,284099.5117449874,251698.5975948092,269.0466667688044,255862.090645848,0.4786394380843123,24547.407255634538,306904.6737253334,283.15,283.1030728426557,239388.96504319608,267.7174628852732,256988.9740477673
0.05,1.008809673893383,6375.667677641559,263308.9646690263,4000,611081.1506482637,295.32194714216854,281709.9796253623,0.45230916269934357,2919.7249691925435,288530.8552152952,298.15,298.1425698666875,606744.4932165219,295.08800971368095,284229.55764626455,0.2864636358506933,284168.34235376463,251232.38860281993,268.99725078914776,256104.59007298804,0.49200092697688963,24598.710629239762,305859.3757737177,283.15,283.0913928200127,238408.07067835788,267.6092899118116,257793.50262992526
0.060000000000000005,0.9900038897989131,6411.209256342818,264269.44613116246,4000,612894.8552040871,295.4194139031876,281381.59931117273,0.45766970023926584,2820.6227245189552,287872.9891561317,298.15,298.1412281420784,608492.3784666617,295.1824495112417,284283.8710802918,0.2878779019089837,284229.55764626455,250714.76277743187,268.94230181429623,256347.03551704783,0.5005712321650402,24664.748554013626,305377.794302754,283.15,283.0796930482694,237531.674823719,267.5123494395343,258606.91206228317
0.07,0.9722319773456631,6446.662329109218,265237.69821139704,4000,614704.5202348076,295.51644656984143,281087.70511870354,0.4636133726241682,2721.8142388907722,287252.4701695447,298.15,298.13993502125675,610233.3614583914,295.27631275483594,284331.70914665604,0.28931909697276836,284283.8710802918,250165.17478988908,268.8838638681222,256589.89486007788,0.5058300758868364,24740.434659453058,305257.60022808716,283.15,283.0679689478686,236737.60499585915,267.42427605216335,259428.3068424842
0.08,0.9553281604492568,6481.960690324032,266213.3687287326,4000,616510.4919037776,295.6130662212639,280825.8236726435,0.46959469802680837,2623.4884514153123,286674.4131084636,298.15,298.13869022468066,611969.507332369,295.36971386527654,284373.45678689814,0.2907838205043497,284331.70914665604,249597.5067521263,268.8233992436072,256833.47996774653,0.508751828900941,24822.18388955623,305380.2529078901,283.15,283.0562176533542,236009.7051052952,267.3433408264555,260256.9927389004
0.09,0.9391694544351165,6517.073717965786,267196.1810687483,4000,618313.3705640968,295.70930730021536,280593.7650147005,0.47552561242080577,2525.6240034167377,286137.04968749324,298.15,298.13749348334136,613702.089737043,295.4627238310303,284409.48015452374,0.29226737388817675,284373.45678689814,249021.80037267008,268.7619698175138,257077.99216700107,0.5100029321406317,24907.43221705732,305671.3015710725,283.15,283.04443752414693,235335.9991229846,267.268259139995,261092.41049079504
